code,name,market,industry
2698,キャンドゥ,スタンダード,小売業
2700,木徳神糧,スタンダード,卸売業
2702,日本マクドナルドホールディングス,スタンダード,小売業
2705,大戸屋ホールディングス,スタンダード,小売業
2708,久世,スタンダード,卸売業
2721,ジェイホールディングス,スタンダード,卸売業
2722,ＩＫホールディングス,スタンダード,小売業
2726,パルグループホールディングス,プライム,小売業
2730,エディオン,プライム,小売業
2733,あらた,プライム,卸売業
2734,サーラコーポレーション,プライム,小売業
2735,ワッツ,スタンダード,小売業
2736,フェスタリアホールディングス,スタンダード,小売業
2737,トーメンデバイス,プライム,卸売業
2742,ハローズ,プライム,小売業
2747,北雄ラッキー,スタンダード,小売業
2749,ＪＰホールディングス,プライム,サービス業
2750,石光商事,スタンダード,卸売業
2751,テンポスホールディングス,スタンダード,卸売業
2752,フジオフードグループ本社,プライム,小売業
2753,あみやき亭,プライム,小売業
2760,東京エレクトロン　デバイス,プライム,卸売業
2762,ＳＡＮＫＯ　ＭＡＲＫＥＴＩＮＧ　ＦＯＯＤＳ,スタンダード,小売業
2764,ひらまつ,スタンダード,小売業
2767,円谷フィールズホールディングス,プライム,卸売業
2768,双日,プライム,卸売業
2769,ヴィレッジヴァンガードコーポレーション,スタンダード,小売業
2776,新都ホールディングス,スタンダード,卸売業
2778,パレモ・ホールディングス,スタンダード,小売業
2780,コメ兵ホールディングス,スタンダード,小売業
2782,セリア,スタンダード,小売業
2784,アルフレッサ　ホールディングス,プライム,卸売業
2788,アップルインターナショナル,スタンダード,卸売業
2789,カルラ,スタンダード,小売業
2790,ナフコ,スタンダード,小売業
2791,大黒天物産,プライム,小売業
2792,ハニーズホールディングス,プライム,小売業
2795,日本プリメックス,スタンダード,卸売業
2796,ファーマライズホールディングス,スタンダード,小売業
2798,ワイズテーブルコーポレーション,スタンダード,小売業
2801,キッコーマン,プライム,食料品
2802,味の素,プライム,食料品
2804,ブルドックソース,プライム,食料品
2805,ヱスビー食品,スタンダード,食料品
2806,ユタカフーズ,スタンダード,食料品
2809,キユーピー,プライム,食料品
2810,ハウス食品グループ本社,プライム,食料品
2811,カゴメ,プライム,食料品
2813,和弘食品,スタンダード,食料品
2814,佐藤食品工業,スタンダード,食料品
2815,アリアケジャパン,プライム,食料品
2816,ダイショー,スタンダード,食料品
2818,ピエトロ,スタンダード,食料品
2819,エバラ食品工業,スタンダード,食料品
2820,やまみ,スタンダード,食料品
2831,はごろもフーズ,スタンダード,食料品
2871,ニチレイ,プライム,食料品
2872,セイヒョー,スタンダード,食料品
2874,横浜冷凍,プライム,卸売業
2875,東洋水産,プライム,食料品
2876,デルソーレ,スタンダード,食料品
2877,日東ベスト,スタンダード,食料品
2882,イートアンドホールディングス,プライム,食料品
2883,大冷,スタンダード,食料品
2884,ヨシムラ・フード・ホールディングス,プライム,食料品
2892,日本食品化工,スタンダード,食料品
2894,石井食品,スタンダード,食料品
2897,日清食品ホールディングス,プライム,食料品
2901,ウェルディッシュ,スタンダード,食料品
2903,シノブフーズ,スタンダード,食料品
2904,一正蒲鉾,スタンダード,食料品
2907,あじかん,スタンダード,食料品
2908,フジッコ,プライム,食料品
2910,ロック・フィールド,プライム,食料品
2911,旭松食品,スタンダード,食料品
2914,日本たばこ産業,プライム,食料品
2915,ケンコーマヨネーズ,プライム,食料品
2916,仙波糖化工業,スタンダード,食料品
2917,大森屋,スタンダード,食料品
2918,わらべや日洋ホールディングス,プライム,食料品
2922,なとり,プライム,食料品
2923,サトウ食品,スタンダード,食料品
2924,イフジ産業,スタンダード,食料品
2926,篠崎屋,スタンダード,食料品
2927,ＡＦＣ－ＨＤアムスライフサイエンス,スタンダード,食料品
2929,ファーマフーズ,プライム,食料品
