acquired_at,code,source,document_id,source_reference,status,reason
2026-08-14T17:41:25.813592+00:00,8399,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,6309,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,8267,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,6481,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,4169,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,6619,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,6594,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,7181,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,3465,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,4575,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,6472,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,4506,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,4997,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,4593,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,5985,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,6361,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,8012,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,7685,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,7537,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,5831,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,5384,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,7721,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,9508,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,3176,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,2220,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,2489,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,2168,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,2395,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,2201,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,5393,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,5714,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,9470,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,9511,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,9861,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,5240,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,4732,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,8572,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,3034,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,1801,EDINET,,,failure,EDINET_API_KEY未設定
