シグナル日,コード,会社名,市場,現在値,前日比,直近3日騰落率,直近5日騰落率,25日線乖離率,ATR当日値幅,スコア,ランク,%K,%D,%D傾き,RSI14,MA25,MA75,MA200,BB位置,出来高倍率,ローソク足パターン,アンチ判定,買い・売り,シグナル種別,シグナル数,自社株買い比率,損切り候補,利確候補,RR,判定理由,除外理由,Yahoo Financeリンク
2026-08-14,4972,綜研化学,スタンダード,3365.0,1.51,1.97,1.2,-0.06,0.46,13,S,94.64,69.12,23.31,51.36,3367.04,3397.35,3064.18,+0.15σ,0.23,強気包み足 / 前日安値割れ反転 / 2～5日下落後の陽線,通常,買い,,,,3120.1,3854.8,2.0,直近2～5日まで下落、%K反転、%D方向改善、陽の包み足、長い下ヒゲ反転、2～5日下落後の陽線,,https://finance.yahoo.co.jp/quote/4972.T
2026-08-14,3997,トレードワークス,スタンダード,387.0,-1.78,7.5,-6.75,3.2,0.5,13,S,42.42,59.08,-11.39,52.47,375.0,363.85,398.02,+0.30σ,0.56,陽線→陰線 / はらみ足 / 長い上ヒゲ,通常,売り,,,,424.0,313.0,2.0,%D方向一致、%K押し・戻りから反転、200日線方向一致、MA75傾き一致、RSIゾーン反転、ローソク色反転、長いヒゲ,,https://finance.yahoo.co.jp/quote/3997.T
2026-08-14,9960,東テク,プライム,3800.0,0.8,2.43,-7.32,-4.2,0.42,13,S,26.73,43.62,0.69,43.37,3966.4,3915.53,3846.95,-1.05σ,0.6,陰線→陽線 / 2～5日下落後の陽線,通常,買い,,,,3588.14,4223.72,2.0,直近2～5日まで下落、BB -1σ以下から反発、ストキャス売られ過ぎから反転、%K反転、%D方向改善、2～5日下落後の陽線,,https://finance.yahoo.co.jp/quote/9960.T
2026-08-14,8609,岡三証券グループ,プライム,1115.0,-0.8,1.09,-0.89,4.03,0.62,13,S,58.7,58.14,-0.53,60.48,1071.8,983.2,878.9,+0.91σ,0.39,陽線→陰線 / 前日高値超え反転,通常,売り,,,,1163.52,1017.95,2.0,%D方向一致、%K押し・戻りから反転、RSI強反転、RSIゾーン反転、BB±1σ反転、ローソク色反転,,https://finance.yahoo.co.jp/quote/8609.T
2026-08-14,8508,Ｊトラスト,スタンダード,893.0,10.38,11.21,0.79,6.85,2.0,13,除外,88.0,66.4,7.69,60.79,835.76,774.6,598.88,+1.67σ,2.06,2～5日下落後の陽線,強,買い,,,,783.0,1113.0,2.0,直近2～5日まで下落、ストキャス売られ過ぎから反転、%K反転、%D方向改善、2～5日下落後の陽線、出来高増加を伴う反転,急騰済み（当日急騰、ストップ高に近い急騰）,https://finance.yahoo.co.jp/quote/8508.T
2026-08-14,3046,ジンズホールディングス,プライム,6630.0,1.84,2.63,-0.75,0.01,0.69,13,S,80.7,41.28,1.65,46.59,6629.6,7438.53,6418.48,+0.32σ,0.48,陰線→陽線 / 強気包み足 / 前日安値割れ反転 / 2～5日下落後の陽線,通常,買い,,,,6170.0,7550.0,2.0,直近2～5日まで下落、%K反転、%D方向改善、陽の包み足、長い下ヒゲ反転、2～5日下落後の陽線,,https://finance.yahoo.co.jp/quote/3046.T
2026-08-14,6364,ＡＩＲＭＡＮ,プライム,2554.0,-1.92,2.08,-4.52,14.78,0.7,13,S,25.83,64.31,-9.95,65.8,2225.2,1932.03,1936.0,+0.76σ,0.42,陽線→陰線 / はらみ足 / 長い上ヒゲ,通常,売り,,,,2729.0,2204.0,2.0,%D方向一致、%K押し・戻りから反転、RSI強反転、RSIゾーン反転、ローソク色反転、長いヒゲ,,https://finance.yahoo.co.jp/quote/6364.T
2026-08-14,5911,横河ブリッジホールディングス,プライム,2941.0,0.62,0.62,0.24,0.62,0.78,13,S,70.91,38.09,0.49,55.78,2922.92,2870.23,2958.8,+0.20σ,0.58,陰線→陽線 / 強気包み足 / 前日安値割れ反転 / 2～5日下落後の陽線,通常,買い,,,,2881.69,3059.63,2.0,直近2～5日まで下落、%K反転、%D方向改善、陽の包み足、長い下ヒゲ反転、2～5日下落後の陽線,,https://finance.yahoo.co.jp/quote/5911.T
2026-08-14,5989,エイチワン,プライム,1505.0,3.29,4.66,-5.41,-2.8,0.99,13,S,46.78,36.45,1.76,47.58,1548.28,1527.24,1416.84,-0.52σ,1.04,2～5日下落後の陽線,強,買い,,,,1396.0,1723.0,2.0,直近2～5日まで下落、BB -1σ以下から反発、ストキャス売られ過ぎから反転、%K反転、%D方向改善、2～5日下落後の陽線,,https://finance.yahoo.co.jp/quote/5989.T
2026-08-14,7616,コロワイド,プライム,2064.0,-1.2,0.34,1.25,2.87,0.77,13,S,63.47,49.0,-7.32,58.56,2006.4,1879.7,1830.57,+0.65σ,0.62,陽線→陰線 / はらみ足,通常,売り,,,,2142.76,1906.48,2.0,%D方向一致、%K押し・戻りから反転、RSI強反転、RSIゾーン反転、BB±1σ反転、ローソク色反転,,https://finance.yahoo.co.jp/quote/7616.T
