シグナル日,コード,注文方式,約定,約定価格,1日後損益,3日後損益,5日後損益,10日後損益,MFE,MAE,未約定後最大上昇率,未約定後最大下落率
2026-08-14,6305,stop,True,5560.0,-3.0575539568345356,,,,0.5575539568345222,-3.0575539568345356,,
2026-08-14,5240,market,True,198.0,6.565656565656575,,,,11.111111111111116,-2.020202020202022,,
2026-08-14,5240,limit,True,198.0,6.565656565656575,,,,11.111111111111116,-2.020202020202022,,
2026-08-14,5240,stop,True,208.416,1.2398280362352132,,,,5.558114540150472,-6.916935360049125,,
2026-08-14,6807,market,True,2320.0,1.0775862068965525,,,,4.051724137931045,-0.5603448275862122,,
2026-08-14,6807,limit,True,2320.0,1.0775862068965525,,,,4.051724137931045,-0.5603448275862122,,
2026-08-14,6807,stop,True,2332.656,0.5291821854572554,,,,3.4871837081850154,-1.099862131407281,,
2026-08-14,9962,market,True,3924.0,0.6116207951070374,,,,1.5290519877675823,-1.783893985728846,,
2026-08-14,9962,limit,False,,,,,,,,4.980237154150191,1.5546772068511183
2026-08-14,9962,stop,False,,,,,,,,4.980237154150191,1.5546772068511183
2026-08-14,9880,market,True,3755.0,2.929427430093212,,,,3.595206391478034,-0.9320905459387463,,
2026-08-14,9880,limit,False,,,,,,,,4.71063257065949,0.13458950201883368
2026-08-14,9880,stop,True,3755.0,2.929427430093212,,,,3.595206391478034,-0.9320905459387463,,
2026-08-14,7947,market,True,2703.0,-0.40695523492415564,,,,2.0347761746208004,-0.8509064002959699,,
2026-08-14,7947,limit,True,2703.0,-0.40695523492415564,,,,2.0347761746208004,-0.8509064002959699,,
2026-08-14,7947,stop,True,2717.424,-0.9355919429577364,,,,1.493178834072273,-1.3771866296904745,,
2026-08-14,1377,market,True,4385.0,-0.11402508551880963,,,,1.9384264538198304,-0.5701254275940704,,
2026-08-14,1377,limit,True,4375.0,0.11428571428571122,,,,2.1714285714285797,-0.34285714285714475,,
2026-08-14,1377,stop,True,4385.0,-0.11402508551880963,,,,1.9384264538198304,-0.5701254275940704,,
2026-08-14,5121,market,True,2743.0,2.114473204520606,,,,3.171709806780898,0.0,,
2026-08-14,5121,limit,True,2743.0,2.114473204520606,,,,3.171709806780898,0.0,,
2026-08-14,5121,stop,True,2763.516,1.3563880216362012,,,,2.40577583049999,-0.742387596091354,,
2026-08-14,5423,market,True,1738.0,-1.2082853855005737,,,,1.4959723820483273,-1.8411967779056404,,
