シグナル日,コード,ランク,買い・売り,RSI14,出来高倍率,BB位置,ローソク足パターン,シグナル種別,1日後終値,2日後終値,3日後終値,5日後終値,10日後終値,20日後終値,1日後騰落率,2日後騰落率,3日後騰落率,5日後騰落率,10日後騰落率,20日後騰落率,期間中最高値,期間中最安値,最大上昇率,最大下落率,利確到達,損切り到達,5日損益率
2026-08-14,9861,B,買い,60.63,0.83,+0.35σ,強気包み足,底固め,3733.0,3717.0,3766.0,,,,-1.217253241598304,-1.640645673458585,-0.34400635088648324,,,,3777.0,3686.0,-0.0529240539825393,-2.4609685101878775,False,False,
2026-08-14,1822,除外,買い,63.29,1.25,+2.26σ,強気包み足,底固め,808.0,807.0,801.0,,,,-0.12360939431397266,-0.24721878862793423,-0.988875154511748,,,,816.0,796.0,0.8652657601977642,-1.606922126081578,False,False,
2026-08-14,1419,B,買い,51.27,0.84,+0.18σ,なし,底固め,2974.0,2970.0,2950.0,,,,-0.3685092127303169,-0.5025125628140725,-1.1725293132328285,,,,2999.0,2943.0,0.4690117252931225,-1.4070351758794009,False,False,
2026-08-14,1982,B,買い,53.91,0.62,+1.42σ,強気包み足 / はらみ足 / 長い下ヒゲ（ハンマー）,底固め,3010.0,3000.0,2872.0,,,,1.0067114093959662,0.6711409395973256,-3.624161073825505,,,,3135.0,2860.0,5.201342281879184,-4.026845637583898,False,False,
2026-08-14,1514,除外,買い,69.31,1.41,+2.24σ,強気包み足,底固め,645.0,667.0,638.0,,,,-0.1547987616099089,3.2507739938080427,-1.2383900928792602,,,,670.0,635.0,3.7151702786377694,-1.7027863777089758,False,False,
2026-08-14,5471,B,買い,53.43,1.16,+1.13σ,長い下ヒゲ（ハンマー）,底固め,2528.5,2435.0,2299.0,,,,4.656456953642385,0.7864238410596025,-4.842715231788075,,,,2586.5,2286.0,7.0571192052980125,-5.3807947019867575,False,False,
2026-08-14,4812,B,買い,64.06,0.38,+0.19σ,陰線→陽線 / 強気包み足,底固め,2656.0,2749.0,2705.0,,,,-1.410541945063104,2.041573867854485,0.40831477357090584,,,,2770.0,2651.0,2.821083890126208,-1.5961395694135128,False,False,
2026-08-14,8558,除外,買い,63.93,1.39,+2.40σ,強気包み足,底固め,1528.0,1552.0,1462.0,,,,0.2624671916010568,1.8372703412073532,-4.06824146981627,,,,1583.0,1461.0,3.8713910761154935,-4.133858267716539,False,False,
2026-08-14,4477,B,買い,47.72,0.88,-0.90σ,陰線→陽線,BB逆張り,297.0,302.0,299.0,,,,2.4137931034482696,4.137931034482767,3.103448275862064,,,,306.0,289.0,5.517241379310356,-0.34482758620689724,False,False,
2026-08-14,2371,除外,買い,72.64,0.9,+0.96σ,強気包み足,底固め,3700.0,3710.0,3700.0,,,,-0.40376850605652326,-0.1345895020188448,-0.40376850605652326,,,,3732.0,3700.0,0.45760430686405673,-0.40376850605652326,False,False,
2026-08-14,5715,除外,買い,65.66,3.29,+2.19σ,強気包み足,底固め,4255.0,4300.0,3915.0,,,,0.9489916963226541,2.016607354685651,-7.117437722419928,,,,4455.0,3915.0,5.693950177935947,-7.117437722419928,False,False,
2026-08-14,5802,B,買い,50.85,1.06,+0.87σ,長い下ヒゲ（ハンマー）,底固め,2473.0,2419.5,2210.0,,,,3.646269907795463,1.4040234702430876,-7.3763621123218766,,,,2584.0,2186.0,8.298407376362116,-8.382229673093045,False,False,
2026-08-14,9042,B,買い,50.36,0.6,-0.33σ,陰線→陽線 / 前日安値割れ反転,底固め,4635.0,4653.0,4637.0,,,,-0.2582311168495832,0.12911555842478606,-0.21519259737464713,,,,4693.0,4589.0,0.9898859479233968,-1.248117064772969,False,False,
2026-08-14,4732,B,買い,56.84,0.93,+0.52σ,強気包み足 / はらみ足,底固め,1996.0,1974.0,1972.0,,,,-0.7458975634012877,-1.8398806563898584,-1.9393336648433568,,,,2026.5,1963.5,0.7707608155146595,-2.3620089507707553,False,False,
2026-08-14,9009,B,買い,57.91,0.94,+0.24σ,なし,底固め,1280.0,1289.5,1303.0,,,,0.0,0.7421874999999911,1.7968750000000089,,,,1309.0,1262.5,2.2656250000000044,-1.3671875,False,False,
2026-08-14,9023,B,買い,51.93,0.63,+0.05σ,陰線→陽線 / 前日安値割れ反転,底固め,1445.5,1440.5,1449.5,,,,-1.1623931623931605,-1.5042735042735011,-0.8888888888888835,,,,1466.0,1431.0,0.23931623931623403,-2.1538461538461506,False,False,
2026-08-14,4396,除外,買い,86.82,2.18,+2.84σ,強気包み足,底固め,1373.0,1400.0,1398.0,,,,-3.6491228070175463,-1.7543859649122862,-1.8947368421052602,,,,1424.0,1341.0,-0.070175438596487,-5.894736842105264,False,False,
2026-08-14,3844,B,買い,69.12,1.56,+1.65σ,陰線→陽線,底固め,1317.0,1326.0,1348.0,,,,-10.529891304347828,-9.918478260869568,-8.42391304347826,,,,1357.0,1306.0,-7.8125,-11.27717391304348,False,True,
2026-08-14,6627,除外,買い,58.26,1.89,+1.50σ,陰線→陽線 / 前日安値割れ反転,アンチ,12350.0,11310.0,10230.0,,,,-3.816199376947038,-11.91588785046729,-20.327102803738317,,,,13090.0,10190.0,1.947040498442365,-20.638629283489095,False,True,
2026-08-14,8103,除外,買い,70.92,1.3,+2.33σ,強気包み足,底固め,966.0,959.0,936.0,,,,-0.5149330587023715,-1.2358393408856805,-3.6045314109165782,,,,978.0,931.0,0.720906282183309,-4.11946446961895,False,False,
2026-08-14,7974,除外,買い,72.11,1.65,+2.26σ,陰線→陽線,底固め,8761.0,8760.0,8577.0,,,,-1.561797752808991,-1.573033707865168,-3.6292134831460654,,,,9067.0,8537.0,1.8764044943820224,-4.078651685393253,False,False,
2026-08-14,7972,B,買い,43.24,0.79,-1.10σ,強気包み足,BB逆張り,2620.0,2564.0,2508.0,,,,-1.9461077844311392,-4.041916167664672,-6.137724550898205,,,,2661.0,2482.0,-0.41167664670658244,-7.110778443113775,False,True,
2026-08-14,4091,B,買い,59.19,0.78,+1.32σ,強気包み足 / 長い下ヒゲ（ハンマー）,底固め,6083.0,5995.0,5719.0,,,,-0.9283387622149863,-2.3615635179153105,-6.856677524429966,,,,6173.0,5711.0,0.5374592833876202,-6.986970684039084,False,True,
2026-08-14,6501,除外,買い,79.38,0.83,+1.56σ,強気包み足,底固め / アンチ,5571.0,5514.0,5225.0,,,,-3.3986474770244524,-4.387029651465236,-9.398300676261485,,,,5688.0,5216.0,-1.3698630136986356,-9.554361019594248,False,True,
2026-08-14,6418,除外,買い,79.77,1.58,+2.14σ,強気包み足,底固め,1304.0,1281.0,1218.0,,,,2.114330462020364,0.3132341425215346,-4.620203602192641,,,,1326.0,1216.0,3.837118245888793,-4.7768206734534076,False,False,
2026-08-14,8334,除外,買い,68.23,1.61,+2.33σ,強気包み足,底固め,2761.5,2800.5,2649.0,,,,-0.12658227848101333,1.2839059674502717,-4.195298372513568,,,,2842.5,2649.0,2.8028933092224317,-4.195298372513568,False,False,
2026-08-14,8399,除外,買い,73.11,1.86,+2.45σ,強気包み足,底固め,3310.0,3370.0,3180.0,,,,0.4552352048558417,2.2761760242792084,-3.490136570561453,,,,3410.0,3170.0,3.490136570561453,-3.793626707132014,False,False,
